	# Exclude Always? #	# Exclude while testing	#  Exclude CTB #	#  Exclude Mov #	#  Exclude BBF/OTB #	BRO REF with Options	CLOSING TB This Yr Dr/-Cr	CLOSING TB Last Yr Dr/-Cr
	#					Tx4655:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	96,290 	72,887
	#					Tx4655:TFAClasses.VehiclesPlantMachinery	8,054,624 	7,678,365
	#					Tx4655:TFAClasses.FixturesFittingsToolsEquipment	858,644 	826,476
	#					Tx4655	9,009,558 	8,577,728
	#					Tx4651:TFAClasses.Buildings:TFAOwnership.OwnedOrFreehold	1,971,254 	1,994,657
	#					Tx4651:TFAClasses.VehiclesPlantMachinery	1,492,994 	1,696,330
	#					Tx4651:TFAClasses.FixturesFittingsToolsEquipment	78,475 	101,088
	#					Tx4651	3,542,723 	3,792,075
	#					Tx4651:TFAOwnership.Leased	1,096,616 	1,116,671
	#					Tx4656:TFAOwnership.Leased	£167,234	£202,824
	#						The net book value of assets held under hire purchase and finance leaseagreements totalled £1,096,616 (2008 £1,116,671) During the year, depreciation of £167,234 (2008 £202,824) was charged on assets held under hire purchase andfinance lease agreements	
	#					Tx3392	303,130 	429,504
	#					Tx3393	289,819 	530,056
	#					Tx4062:ProvisionsClasses.DeferredTaxation	148,112 	
